# X, Y, d4:d7:48:d8:2e:70, 00:0e:84:4b:0b:ad, 00:1f:6c:a8:e6:a2, 00:1f:6c:a8:e6:a1, 00:1f:6c:a8:e6:a0, 00:0e:84:4b:0a:f1, 00:0e:84:4b:0b:9f, 24:b6:57:b4:f6:20, 00:0e:84:4b:0b:c0, 00:3a:98:21:8d:12, 24:b6:57:7b:e8:a0, 00:3a:98:2a:5f:c2, 00:3a:98:2a:5f:c0, 00:0e:84:4b:0b:ec, 00:3a:98:2a:5f:c1, 00:0e:84:4b:0b:eb, 00:0e:84:4b:0c:05, 00:0e:84:4b:0b:aa, 00:16:b6:ee:00:7f, 00:0e:84:4b:0c:10, 00:0e:84:4b:0c:11, 00:0e:84:4b:0c:12, 00:3a:98:2a:59:81, 00:3a:98:2a:59:80, 00:3a:98:2a:59:82, 00:3a:98:2a:5c:50, 00:3a:98:2a:5c:52, 00:3a:98:2a:5c:51, 00:1f:6c:a9:1b:71, 00:0b:fd:4a:71:b2, 00:1f:6c:a9:1b:70, 00:0e:84:4b:0a:f8, 00:3a:98:2a:6b:22, 00:3a:98:2a:6b:21, 00:0b:fd:4a:71:b5, 00:3a:98:2a:6b:20, 00:3a:98:2a:54:20, 00:0e:84:4b:0c:0a, 00:0e:84:4b:0b:ff, 00:1f:6c:a9:1b:72, 00:3a:98:2a:59:c2, 00:3a:98:2a:54:21, 00:3a:98:2a:59:c1, 00:3a:98:2a:59:c0, 00:24:17:21:1a:95, d4:d7:48:d8:2b:00, 00:3a:98:2a:63:b0, 00:3a:98:2a:63:b2, 00:3a:98:2a:63:b1, d4:d7:48:d8:28:30, 00:0e:38:7a:37:77, 00:1b:11:6a:18:0f, 2c:3f:38:f7:fe:80, 00:0e:84:4b:0b:7c, d4:d7:48:b0:8f:40, 00:0e:84:4b:0c:0f, 2c:3f:38:f7:fe:81, 00:0b:fd:4a:71:ce, 00:0e:84:4b:0b:7f, 00:0e:84:4b:0b:02, 00:0b:fd:f3:ab:0b, 00:0e:38:7a:37:b2, 00:0e:84:4b:0b:05, d4:d7:48:d8:2c:70, 00:0b:fd:4a:71:a2, 00:0b:fd:f3:ab:56, 00:0e:84:4b:0b:86, d4:d7:48:b0:97:10, 00:1f:6c:a8:e5:81, 00:1f:6c:a8:e5:82, 00:0e:84:4b:0b:f6, 00:3a:98:36:01:32, 24:b6:57:7b:ee:d0, 00:3a:98:36:01:30, 00:3a:98:36:01:31, 24:b6:57:7b:e9:60, d4:d7:48:d8:28:b0, 00:0e:84:4b:0a:8f, d4:d7:48:d8:2f:a0, 00:0e:84:4b:0b:dc, 00:0e:84:4b:0b:a2, 00:3a:98:2a:5a:30, 00:3a:98:2a:5a:32, 00:3a:98:2a:5a:31, 00:0e:84:4b:0b:70, d4:d7:48:b0:95:f0, d4:d7:48:b0:8d:20, 00:0b:fd:4a:71:d6, 00:0e:84:4b:0b:e8
10.585541725158691, 12.225826263427734, -110, -109.1, -110, -110, -110, -110, -110, -80.2, -110, -110, -110, -110, -110, -107.7, -110, -92.6, -110, -110, -109.3, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -84.2, -110, -110, -110, -110, -110, -110, -110, -110, -98.5, -110, -110, -110, -110, -110, -87, -110, -110, -110, -110, -110, -107.5, -86.9, -110, -110, -78.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -86.9, -61, -110, -110, -110, -110, -110, -110, -110, -110, -110, -89.4, -110, -110, -96.7, -107.4, -110, -110, -110, -110, -110, -110, -110, -110, -110
73.3355484008789, 25.854677200317383, -91, -110, -110, -110, -110, -110, -110, -110, -110, -110, -55.4, -110, -110, -108.6, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -89, -110, -110, -110, -110, -110, -101.6, -96, -110, -110, -92.3, -110, -110, -110, -110, -93.8, -110, -110, -110, -109.3, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -81.4, -110
5.721729278564453, 8.676858901977539, -110, -96.4, -110, -110, -110, -110, -110, -86.9, -105.8, -110, -110, -110, -110, -110, -110, -110, -110, -110, -109.3, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -105.7, -110, -110, -110, -110, -110, -110, -110, -110, -84, -110, -110, -110, -110, -110, -100.7, -110, -110, -110, -110, -110, -110, -99, -110, -110, -88.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -101.2, -78.8, -110, -110, -110, -110, -110, -110, -110, -110, -110, -103.6, -110, -110, -108.4, -95.3, -110, -110, -110, -110, -110, -110, -110, -110, -110
54.74039077758789, 28.31598472595215, -58.2, -110, -101.9, -102.8, -104.4, -110, -110, -110, -110, -110, -75.3, -110, -110, -107.7, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -107.6, -110, -110, -110, -110, -110, -110, -110, -110, -110, -108.4, -109.3, -110, -110, -110, -102.9, -110, -110, -110, -110, -110, -110, -110, -89.2, -110, -110, -110, -110, -110, -86.3, -110, -110, -110, -76.7, -110, -110, -110, -110, -110, -110, -110, -79.8, -110, -110, -106.2, -110, -110, -110, -110, -110, -110, -104.5, -98.9, -56.2, -110
73.26609802246094, 21.72154998779297, -87.6, -110, -110, -110, -110, -110, -110, -110, -110, -110, -68.5, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -106.2, -110, -110, -110, -110, -110, -110, -110, -97, -110, -110, -110, -110, -110, -82.1, -110, -110, -110, -104.2, -110, -110, -110, -110, -74.6, -110, -110, -110, -93.9, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -92.8, -110
66.80152893066406, 16.424055099487305, -83.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -71.9, -110, -110, -110, -110, -110, -110, -110, -106.4, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -99, -110, -110, -110, -110, -110, -110, -110, -110, -110, -97.8, -110, -110, -110, -110, -99.8, -110, -110, -110, -110, -110, -110, -110, -101.9, -110, -110, -110, -110, -110, -82.1, -110, -110, -110, -102.7, -110, -110, -110, -110, -90.6, -110, -110, -103.6, -102.3, -110, -95.2, -110, -110, -110, -110, -110, -110, -107.6, -110, -87.6, -110
52.827003479003906, 1.1654577255249023, -76.9, -106.8, -110, -110, -110, -110, -110, -110, -109.1, -110, -95.1, -110, -110, -110, -110, -110, -110, -110, -75.2, -110, -110, -110, -110, -110, -110, -108.7, -110, -109.3, -110, -110, -110, -110, -103.6, -103.4, -110, -107.2, -110, -110, -110, -110, -110, -110, -110, -110, -108.4, -107.8, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -87.7, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -90.2, -105.2, -110, -107, -110, -110, -110, -110, -110, -110, -110, -110, -69.5, -110
1.008191704750061, 26.95767593383789, -110, -95.2, -110, -110, -110, -110, -110, -56, -80.2, -110, -110, -110, -110, -109.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -105.9, -110, -110, -110, -110, -110, -110, -77.6, -110, -110, -110, -110, -110, -102.6, -110, -110, -110, -110, -110, -110, -106.2, -110, -110, -88.4, -110, -110, -91.6, -110, -110, -110, -110, -110, -110, -91.9, -63.8, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -104.2, -110, -75.3, -110, -110, -110, -110, -110, -110, -110, -110, -97.8
54.255916595458984, 7.621591567993164, -71.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -87.7, -110, -110, -110, -110, -110, -110, -110, -84.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -106.1, -110, -110, -110, -110, -106.6, -110, -110, -110, -110, -110, -110, -110, -98, -110, -110, -103.1, -110, -110, -76.8, -110, -110, -110, -109.3, -110, -110, -110, -110, -101.2, -110, -110, -102.2, -95.6, -110, -107.6, -110, -110, -110, -110, -110, -110, -105.3, -110, -69.2, -110
54.76167678833008, 20.916582107543945, -40.5, -110, -110, -110, -110, -110, -110, -110, -110, -110, -79.8, -110, -110, -110, -110, -110, -110, -110, -100.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -108.6, -110, -110, -110, -110, -104.4, -110, -110, -110, -110, -110, -110, -110, -100.7, -110, -110, -110, -110, -110, -82.1, -110, -110, -110, -94.6, -110, -110, -110, -110, -94.2, -110, -110, -86.9, -97.8, -110, -105.2, -110, -110, -110, -110, -110, -110, -97.8, -109.2, -55.1, -110
